220 open entries; 50 arsenal contexts
[174/220] id=422a -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[175/220] id=422b -> HOLDS_PARTIAL (vio=0, hold=7, br=0, pf=0, un=43)
[176/220] id=422c -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[177/220] id=422d -> BRACKET (vio=0, hold=49, br=1, pf=0, un=0)
[178/220] id=423 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[179/220] id=425d -> BRACKET (vio=0, hold=42, br=8, pf=0, un=0)
[180/220] id=425e -> BRACKET (vio=0, hold=41, br=9, pf=0, un=0)
[181/220] id=426 -> HOLDS_PARTIAL (vio=0, hold=7, br=0, pf=0, un=43)
[182/220] id=427 -> BRACKET (vio=0, hold=7, br=43, pf=0, un=0)
[183/220] id=430a -> NO_EVALUABLE_READINGS (vio=0, hold=0, br=0, pf=0, un=0)
[184/220] id=430c -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[185/220] id=431a -> BRACKET (vio=0, hold=42, br=8, pf=0, un=0)
[186/220] id=431b -> HOLDS_PARTIAL (vio=0, hold=7, br=0, pf=0, un=43)
[187/220] id=431c -> BRACKET (vio=0, hold=41, br=9, pf=0, un=0)
[188/220] id=432a -> BRACKET (vio=0, hold=35, br=15, pf=0, un=0)
[189/220] id=432b -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[190/220] id=433 -> BRACKET (vio=0, hold=7, br=43, pf=0, un=0)
[191/220] id=434a -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[192/220] id=434a-dup2 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[193/220] id=434b -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[194/220] id=434c -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[195/220] id=434d -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[196/220] id=434e -> BRACKET (vio=0, hold=41, br=9, pf=0, un=0)
[197/220] id=435 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[198/220] id=436c -> BRACKET (vio=0, hold=49, br=1, pf=0, un=0)
[199/220] id=438a -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[200/220] id=438b -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[201/220] id=439 -> BRACKET (vio=0, hold=6, br=44, pf=0, un=0)
