1016 sanity graphs
done atlas499 0.1s
done atlas500 0.1s
done atlas501 0.1s
done atlas502 0.1s
done atlas503 0.1s
done atlas504 0.1s
done atlas505 0.1s
done atlas506 0.1s
done atlas507 0.1s
done atlas508 0.1s
done atlas509 0.1s
done atlas510 0.1s
done atlas511 0.1s
done atlas512 0.1s
done atlas513 0.1s
done atlas514 0.1s
done atlas515 0.1s
done atlas516 0.1s
done atlas517 0.1s
done atlas518 0.1s
done atlas519 0.1s
done atlas520 0.1s
done atlas521 0.1s
done atlas522 0.2s
done atlas523 0.1s
done atlas524 0.1s
done atlas525 0.1s
done atlas526 0.1s
done atlas527 0.1s
done atlas528 0.1s
done atlas529 0.1s
done atlas530 0.1s
done atlas531 0.1s
done atlas532 0.1s
done atlas533 0.1s
done atlas534 0.1s
done atlas535 0.1s
done atlas536 0.1s
done atlas537 0.1s
done atlas538 0.1s
done atlas539 0.1s
done atlas540 0.1s
done atlas541 0.1s
done atlas542 0.1s
done atlas543 0.1s
done atlas544 0.1s
done atlas545 0.1s
done atlas546 0.1s
done atlas547 0.1s
done atlas548 0.1s
done atlas549 0.1s
done atlas550 0.1s
done atlas551 0.1s
done atlas552 0.1s
done atlas553 0.1s
done atlas554 0.1s
done atlas555 0.1s
done atlas556 0.1s
done atlas557 0.1s
done atlas558 0.1s
done atlas559 0.1s
done atlas560 0.1s
done atlas561 0.1s
done atlas562 0.2s
done atlas563 0.1s
done atlas564 0.1s
done atlas565 0.1s
done atlas566 0.1s
done atlas567 0.1s
done atlas568 0.1s
done atlas569 0.1s
done atlas570 0.1s
done atlas571 0.1s
done atlas572 0.1s
done atlas573 0.1s
done atlas574 0.1s
done atlas575 0.1s
done atlas576 0.1s
done atlas577 0.1s
done atlas578 0.1s
done atlas579 0.1s
done atlas580 0.1s
done atlas581 0.1s
done atlas582 0.1s
done atlas583 0.1s
done atlas584 0.1s
done atlas585 0.1s
done atlas586 0.1s
done atlas587 0.1s
done atlas588 0.1s
done atlas589 0.2s
done atlas590 0.1s
done atlas591 0.1s
done atlas592 0.2s
done atlas593 0.1s
done atlas594 0.1s
done atlas595 0.1s
done atlas596 0.1s
done atlas597 0.1s
done atlas598 0.1s
done atlas599 0.1s
done atlas600 0.1s
done atlas601 0.2s
done atlas602 0.1s
done atlas603 0.1s
done atlas604 0.1s
done atlas605 0.1s
done atlas606 0.1s
done atlas607 0.1s
done atlas608 0.2s
done atlas609 0.1s
done atlas610 0.1s
done atlas611 0.1s
done atlas612 0.2s
done atlas613 0.1s
done atlas614 0.2s
done atlas615 0.1s
done atlas616 0.1s
done atlas617 0.2s
done atlas618 0.1s
done atlas619 0.1s
done atlas620 0.1s
done atlas621 0.1s
done atlas622 0.1s
done atlas623 0.1s
done atlas624 0.1s
done atlas625 0.1s
done atlas626 0.1s
done atlas627 0.1s
done atlas628 0.1s
done atlas629 0.1s
done atlas630 0.1s
done atlas631 0.1s
done atlas632 0.1s
done atlas633 0.1s
done atlas634 0.1s
done atlas635 0.1s
done atlas636 0.1s
done atlas637 0.1s
